id,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
1,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes
2,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting
3,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea
4,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
5,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
6,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
7,Diabetes , fatigue, weight_loss, restlessness, lethargy
8,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
9,Bronchial Asthma, fatigue, cough, high_fever, breathlessness
10,Hypertension , headache, chest_pain, dizziness, loss_of_balance
11,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
12,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
13,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
14,Jaundice,itching, vomiting, fatigue, weight_loss
15,Malaria, chills, vomiting, high_fever, sweating
16,Chicken pox,itching, skin_rash, fatigue, lethargy
17,Dengue, skin_rash, chills, joint_pain, vomiting
18,Typhoid, chills, vomiting, fatigue, high_fever
19,hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
20,Hepatitis B,itching, fatigue, lethargy, yellowish_skin
21,Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
22,Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
23,Hepatitis E, joint_pain, vomiting, fatigue, high_fever
24,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
25,Tuberculosis, chills, vomiting, fatigue, weight_loss
26,Common Cold, continuous_sneezing, chills, fatigue, cough
27,Pneumonia, chills, fatigue, cough, high_fever
28,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
29,Heart attack, vomiting, breathlessness, sweating, chest_pain
30,Varicose veins, fatigue, cramps, bruising, obesity
31,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
32,Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
33,Hypoglycemia, vomiting, fatigue, anxiety, sweating
34,Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
35,Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
36,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
37,Acne, skin_rash, pus_filled_pimples, blackheads, scurring
38,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
39,Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
40,Impetigo, skin_rash, high_fever, blister, red_sore_around_nose



